iter	RMSE
0	683.7530992
1	677.4089918
2	671.1309363
3	664.9183121
4	658.7705049
5	652.7632514
6	646.7728384
7	640.8140892
8	634.9177713
9	629.0833006
10	623.3100986
11	617.5975925
12	611.979418
13	606.3858278
14	600.8512534
15	595.3751446
16	589.9569568
17	584.5961508
18	579.2921927
19	574.0852544
20	568.8923627
21	563.754754
22	558.6719154
23	553.6433389
24	548.6685216
25	543.7469657
26	538.8781782
27	534.061671
28	529.2969608
29	524.6508643
30	519.9875305
31	515.3745791
32	510.8239252
33	506.3095491
34	501.8441774
35	497.4636184
36	493.0939848
37	488.77202
38	484.5240258
39	480.3122559
40	476.1526711
41	472.0140842
42	467.9210286
43	463.9034955
44	459.8996754
45	455.9994145
46	452.0830538
47	448.2101855
48	444.3804115
49	440.6071188
50	436.8604716
51	433.1557524
52	429.4925776
53	425.8811954
54	422.3105598
55	418.7853537
56	415.2813514
57	411.8170414
58	408.4024976
59	405.0349037
60	401.6861008
61	398.3722436
62	395.0976092
63	391.8839779
64	388.6829722
65	385.5326064
66	382.4098346
67	379.3232621
68	376.2606261
69	373.2335824
70	370.2709745
71	367.3307528
72	364.4059593
73	361.5242428
74	358.6628953
75	355.8539886
76	353.0608165
77	350.3007342
78	347.5734371
79	344.8791424
80	342.2170855
81	339.5850149
82	336.9660383
83	334.3718187
84	331.8433476
85	329.3329825
86	326.8501569
87	324.4101035
88	321.9900725
89	319.5699486
90	317.2020332
91	314.8649415
92	312.5562325
93	310.2758206
94	308.0236767
95	305.7985204
96	303.5675599
97	301.3674988
98	299.1913215
99	297.0314176
100	294.9343954
101	292.8572867
102	290.8121961
103	288.7865681
104	286.7927496
105	284.8227727
106	282.8366581
107	280.9098892
108	279.0193481
109	277.1010838
110	275.2157804
111	273.3804927
112	271.5822949
113	269.7938723
114	267.9900985
115	266.202639
116	264.4509134
117	262.7503228
118	261.0360765
119	259.3489611
120	257.6726794
121	256.0549486
122	254.4461669
123	252.8351434
124	251.2525018
125	249.6775657
126	248.1280629
127	246.6028404
128	245.0947219
129	243.5986376
130	242.130935
131	240.6989281
132	239.2589397
133	237.8473877
134	236.4711713
135	235.1122932
136	233.7586979
137	232.4238594
138	231.0871214
139	229.7833559
140	228.5030765
141	227.2167733
142	225.9733152
143	224.7243294
144	223.502554
145	222.2802788
146	221.090379
147	219.9191783
148	218.7597062
149	217.6161366
150	216.4955261
151	215.3895534
152	214.2739337
153	213.1893756
154	212.1201866
155	211.07453
156	210.0332341
157	208.9889869
158	207.9800447
159	206.978704
160	205.97335
161	205.0039436
162	204.0262928
163	203.0828529
164	202.1540454
165	201.2355151
166	200.3322364
167	199.434009
168	198.5514381
169	197.6791168
170	196.8234261
171	195.9753943
172	195.1426026
173	194.3206459
174	193.4922359
175	192.6698008
176	191.8789506
177	191.0923421
178	190.3244422
179	189.5567741
180	188.8037154
181	188.0649922
182	187.3296976
183	186.6156935
184	185.9007452
185	185.2025184
186	184.5020945
187	183.8248803
188	183.1246296
189	182.468847
190	181.8119028
191	181.1631321
192	180.5243748
193	179.8650432
194	179.2504187
195	178.6384716
196	178.043871
197	177.4400961
198	176.8635561
199	176.298086
200	175.7291547
201	175.1652803
202	174.6102534
203	174.0643576
204	173.5344249
205	172.9801918
206	172.4639277
207	171.9335516
208	171.4270629
209	170.9129834
210	170.4193527
211	169.9092344
212	169.4369681
213	168.9706177
214	168.5063509
215	168.0487303
216	167.5785818
217	167.1048928
218	166.6432486
219	166.2080218
220	165.7606668
221	165.336776
222	164.9111607
223	164.4591003
224	164.0484029
225	163.6419338
226	163.2503046
227	162.8384822
228	162.4510865
229	162.0659891
230	161.6878551
231	161.2963692
232	160.9284498
233	160.5707968
234	160.1977971
235	159.8454896
236	159.4738358
237	159.1358302
238	158.8027037
239	158.4744962
240	158.1242312
241	157.8007417
242	157.4327091
243	157.1221298
244	156.8164316
245	156.4846749
246	156.1846925
247	155.8894204
248	155.5990986
249	155.3136147
250	155.0332119
251	154.7149461
252	154.442161
253	154.1742444
254	153.9037175
255	153.605797
256	153.3627894
257	153.1100913
258	152.8623909
259	152.5829273
260	152.3097045
261	152.032744
262	151.7969395
263	151.5713211
264	151.3425345
265	151.1157428
266	150.8929132
267	150.6754818
268	150.4617015
269	150.2162314
270	150.0073678
271	149.8010611
272	149.5989082
273	149.3666974
274	149.1705048
275	148.9286614
276	148.7385593
277	148.5493952
278	148.3697625
279	148.1878592
280	147.9667471
281	147.7110401
282	147.5367019
283	147.3641326
284	147.1491843
285	146.9120432
286	146.6830881
287	146.4748093
288	146.3127332
289	146.1536946
290	145.9979252
291	145.8470846
292	145.6960845
293	145.5013913
294	145.3536243
295	145.2080694
296	145.0308631
297	144.8891918
298	144.7516296
299	144.616092
300	144.4826516
301	144.3505009
302	144.2170275
303	144.089272
304	143.9628895
305	143.8380994
306	143.7172241
307	143.5584266
308	143.3822244
309	143.2028571
310	143.0877609
311	142.95636
312	142.7975026
313	142.6887772
314	142.5364619
315	142.3738099
316	142.2177416
317	142.1098535
318	141.9689987
319	141.8649624
320	141.762195
321	141.6621594
322	141.5274782
323	141.4297309
324	141.3018586
325	141.2057703
326	141.1122893
327	140.9865551
328	140.8983947
329	140.8091028
330	140.721675
331	140.6361339
332	140.5009589
333	140.3671095
334	140.2375856
335	140.1565779
336	140.0219745
337	139.8899359
338	139.7758778
339	139.6672072
340	139.5270576
341	139.450982
342	139.3757639
343	139.262113
344	139.1909041
345	139.0687343
346	138.9689784
347	138.8987268
348	138.8294498
349	138.7617933
350	138.6332086
351	138.5222385
352	138.45665
353	138.392153
354	138.3275503
355	138.2651296
356	138.2035594
357	138.1434792
358	138.0882286
359	138.0187185
360	137.9249319
361	137.8678956
362	137.8118475
363	137.7206022
364	137.6678958
