iter	Passed	Remaining
0	12	12350
1	23	11543
2	33	11168
3	44	11049
4	54	10915
5	65	10847
6	75	10752
7	86	10741
8	96	10671
9	107	10651
10	118	10636
11	128	10614
12	139	10572
13	149	10537
14	161	10582
15	174	10739
16	188	10916
17	202	11057
18	217	11255
19	233	11452
20	251	11707
21	268	11914
22	285	12139
23	302	12303
24	325	12679
25	345	12926
26	360	13000
27	376	13063
28	389	13052
29	403	13054
30	417	13039
31	431	13048
32	446	13078
33	458	13040
34	472	13018
35	487	13050
36	503	13112
37	518	13126
38	530	13063
39	541	13000
40	553	12942
41	564	12867
42	574	12783
43	585	12723
44	595	12645
45	607	12594
46	618	12543
47	629	12490
48	642	12461
49	654	12431
50	665	12375
51	676	12329
52	688	12300
53	699	12261
54	711	12219
55	724	12204
56	737	12197
57	750	12183
58	763	12169
59	777	12188
60	793	12213
61	810	12263
62	826	12287
63	839	12281
64	853	12277
65	867	12282
66	881	12268
67	894	12260
68	908	12256
69	920	12235
70	933	12209
71	944	12175
72	956	12150
73	968	12121
74	980	12096
75	992	12065
76	1004	12044
77	1017	12028
78	1031	12023
79	1043	11996
80	1054	11965
81	1066	11943
82	1078	11919
83	1090	11893
84	1103	11881
85	1115	11857
86	1127	11835
87	1138	11800
88	1149	11766
89	1161	11740
90	1175	11737
91	1187	11719
92	1198	11688
93	1209	11658
94	1221	11633
95	1233	11612
96	1244	11582
97	1255	11553
98	1265	11518
99	1276	11486
100	1286	11454
101	1298	11434
102	1312	11426
103	1324	11407
104	1337	11397
105	1350	11391
106	1361	11366
107	1375	11357
108	1389	11355
109	1403	11354
110	1416	11347
111	1430	11339
112	1442	11326
113	1455	11314
114	1468	11298
115	1478	11263
116	1488	11233
117	1498	11199
118	1509	11173
119	1519	11141
120	1530	11114
121	1540	11088
122	1551	11060
123	1563	11048
124	1575	11029
125	1585	10996
126	1595	10967
127	1605	10938
128	1616	10915
129	1626	10887
130	1637	10862
131	1647	10834
132	1657	10807
133	1668	10783
134	1679	10760
135	1689	10732
136	1699	10707
137	1710	10685
138	1723	10674
139	1734	10655
140	1745	10631
141	1755	10605
142	1765	10579
143	1776	10558
144	1787	10538
145	1797	10516
146	1807	10491
147	1818	10467
148	1828	10443
149	1839	10422
150	1849	10397
151	1859	10372
152	1871	10359
153	1883	10347
154	1894	10326
155	1903	10298
156	1914	10277
157	1924	10258
158	1935	10239
159	1945	10214
160	1956	10193
161	1966	10172
162	1976	10150
163	1987	10131
164	1997	10108
165	2008	10088
166	2018	10070
167	2030	10053
168	2041	10040
169	2053	10026
170	2064	10007
171	2075	9991
172	2085	9968
173	2095	9948
174	2106	9928
175	2115	9906
176	2125	9882
177	2135	9860
178	2145	9840
179	2156	9823
180	2166	9804
181	2176	9783
182	2187	9764
183	2199	9753
184	2211	9741
185	2222	9724
186	2231	9702
187	2241	9683
188	2251	9662
189	2261	9639
190	2271	9619
191	2281	9599
192	2291	9580
193	2301	9561
194	2311	9542
195	2322	9525
196	2331	9504
197	2341	9485
198	2354	9475
199	2365	9460
200	2375	9442
201	2386	9426
202	2396	9409
203	2407	9392
204	2417	9375
205	2427	9357
206	2437	9339
207	2447	9321
208	2458	9303
209	2468	9284
210	2478	9266
211	2489	9252
212	2499	9234
213	2511	9224
214	2522	9210
215	2533	9194
216	2544	9179
217	2555	9166
218	2567	9156
219	2578	9140
220	2589	9128
221	2601	9117
222	2612	9104
223	2624	9090
224	2635	9079
225	2647	9068
226	2658	9053
227	2670	9041
228	2681	9027
229	2692	9013
230	2702	8998
231	2713	8982
232	2724	8969
233	2735	8955
234	2747	8942
235	2760	8935
236	2773	8929
237	2785	8917
238	2796	8903
239	2807	8890
240	2818	8878
241	2829	8863
242	2840	8847
243	2850	8832
244	2860	8814
245	2870	8798
246	2881	8783
247	2890	8766
248	2901	8752
249	2914	8742
250	2926	8733
251	2937	8719
252	2948	8704
253	2958	8688
254	2968	8672
255	2979	8657
256	2989	8642
257	2999	8625
258	3010	8613
259	3020	8598
260	3030	8579
261	3040	8563
262	3049	8545
263	3060	8531
264	3072	8520
265	3083	8509
266	3094	8495
267	3104	8479
268	3114	8463
269	3125	8450
270	3135	8435
271	3146	8422
