id,num_sold
230130,637
230131,941
230132,732
230133,410
230134,475
230135,375
230136,3033
230137,2125
230138,795
230139,957
230140,329
230141,3507
230142,2929
230143,973
230144,1190
230145,365
230146,965
230147,711
230148,402
230149,467
230150,257
230151,3027
230152,2077
230153,782
230154,935
230155,303
230156,3475
230157,2905
230158,952
230159,1174
230160,226
230161,607
230162,499
230163,282
230164,351
230165,191
230166,1504
230167,1120
230168,540
230169,670
230170,207
230171,2015
230172,1384
230173,630
230174,777
230175,788
230176,62
230177,64
230178,88
230179,77
230180,267
230181,169
230182,132
230183,59
230184,89
230185,121
230186,202
230187,164
230188,55
230189,91
230190,223
230191,2574
230192,1758
230193,726
230194,941
230195,546
230196,3657
230197,3631
230198,2072
230199,2874
230200,642
230201,3620
230202,3719
230203,2630
230204,3366
230205,245
230206,1050
230207,860
230208,459
230209,536
230210,298
230211,3426
230212,2722
230213,920
230214,1137
230215,384
230216,3698
230217,3421
230218,1117
230219,1372
230220,649
230221,705
230222,594
230223,357
230224,419
230225,431
230226,2279
230227,1423
230228,633
230229,773
230230,318
230231,3125
230232,2014
230233,748
230234,936
230235,353
230236,678
230237,587
230238,343
230239,407
230240,252
230241,2214
230242,1347
230243,624
230244,763
230245,253
230246,3112
230247,1941
230248,737
230249,917
230250,212
230251,496
230252,436
230253,224
230254,286
230255,188
230256,1100
230257,873
230258,453
230259,563
230260,192
230261,1446
230262,1093
230263,530
230264,659
230265,805
230266,63
230267,62
230268,99
230269,85
230270,452
230271,99
230272,94
230273,77
230274,99
230275,270
230276,137
230277,106
230278,63
230279,92
230280,191
230281,1858
230282,1219
230283,574
230284,772
230285,398
230286,3523
230287,3452
230288,1480
230289,2335
230290,494
230291,3617
230292,3592
230293,2095
230294,2871
230295,235
230296,855
230297,671
230298,389
230299,453
230300,252
230301,2980
230302,1778
230303,730
230304,903
230305,289
230306,3507
230307,2658
230308,865
230309,1147
230310,648
230311,705
230312,594
230313,357
230314,417
230315,430
230316,2276
230317,1372
230318,632
230319,774
230320,329
230321,3124
230322,2015
230323,747
230324,936
230325,353
230326,677
230327,587
230328,342
230329,407
230330,251
230331,2212
230332,1346
230333,623
230334,763
230335,252
230336,3111
230337,1940
230338,736
230339,917
230340,211
230341,495
230342,436
230343,224
230344,286
230345,187
230346,1099
230347,872
230348,452
230349,563
230350,191
230351,1444
230352,1091
230353,529
230354,660
230355,807
230356,63
230357,62
230358,99
230359,85
230360,449
230361,98
230362,93
230363,76
230364,97
230365,245
230366,136
230367,105
230368,64
230369,91
230370,189
230371,1857
230372,1217
230373,573
230374,773
230375,399
230376,3524
230377,3453
230378,1474
230379,2336
230380,495
230381,3618
230382,3593
230383,2087
230384,2873
230385,236
230386,850
230387,666
230388,386
230389,454
230390,251
230391,2947
230392,1777
230393,706
230394,909
230395,288
230396,3485
230397,2658
230398,864
230399,1108
230400,648
230401,704
230402,593
230403,356
230404,416
230405,430
230406,2274
230407,1370
230408,631
230409,773
230410,329
230411,3122
230412,2013
230413,746
230414,935
230415,353
230416,677
230417,586
230418,342
230419,407
230420,251
230421,2211
230422,1345
230423,622
230424,762
230425,252
230426,3109
230427,1939
230428,735
230429,916
230430,211
230431,495
230432,435
230433,224
230434,286
230435,187
230436,1098
230437,871
230438,452
230439,562
230440,191
230441,1443
230442,1090
230443,528
230444,659
230445,807
230446,63
230447,61
230448,99
230449,85
230450,449
230451,97
230452,92
230453,75
230454,97
230455,246
230456,135
230457,104
230458,64
230459,91
230460,189
230461,1855
230462,1215
230463,571
230464,772
230465,398
230466,3523
230467,3453
230468,1470
230469,2335
230470,494
230471,3618
230472,3593
230473,2081
230474,2873
230475,236
230476,849
230477,666
230478,386
230479,453
230480,250
230481,2945
230482,1776
230483,705
230484,909
230485,288
230486,3483
230487,2657
230488,863
230489,1107
230490,648
230491,704
230492,593
230493,356
230494,417
230495,430
230496,2274
230497,1369
230498,631
230499,774
230500,329
230501,3121
230502,2013
230503,746
230504,935
230505,353
230506,677
230507,586
230508,342
230509,407
230510,251
230511,2211
230512,1344
230513,622
230514,763
230515,252
230516,3108
230517,1938
230518,735
230519,917
230520,211
230521,495
230522,435
230523,223
230524,286
230525,188
230526,1097
230527,870
230528,451
230529,563
230530,191
230531,1442
230532,1089
230533,527
230534,659
230535,807
230536,63
230537,61
230538,99
230539,85
230540,450
230541,97
230542,91
230543,75
230544,98
230545,246
230546,135
230547,104
230548,63
230549,91
230550,189
230551,1855
230552,1215
230553,570
230554,773
230555,398
230556,3523
230557,3453
230558,1466
230559,2339
230560,494
230561,3618
230562,3593
230563,2076
230564,2877
230565,236
230566,849
230567,665
230568,385
230569,453
230570,251
230571,2945
230572,1775
230573,705
230574,909
230575,288
230576,3483
230577,2656
230578,862
230579,1108
230580,649
230581,703
230582,591
230583,355
230584,415
230585,431
230586,2271
230587,1366
230588,629
230589,773
230590,328
230591,3117
230592,2009
230593,743
230594,934
230595,354
230596,675
230597,585
230598,343
230599,404
230600,251
230601,2242
230602,1342
230603,631
230604,762
230605,253
230606,3106
230607,1939
230608,733
230609,916
230610,213
230611,493
230612,434
230613,223
230614,285
230615,185
230616,1095
230617,866
230618,451
230619,563
230620,191
230621,1428
230622,1100
230623,527
230624,659
230625,808
230626,63
230627,61
230628,99
230629,85
230630,450
230631,95
230632,90
230633,74
230634,98
230635,246
230636,133
230637,102
230638,62
230639,92
230640,189
230641,1852
230642,1212
230643,567
230644,772
230645,398
230646,3522
230647,3452
230648,1456
230649,2344
230650,493
230651,3618
230652,3593
230653,2063
230654,2881
230655,236
230656,848
230657,664
230658,384
230659,452
230660,251
230661,2942
230662,1772
230663,702
230664,909
230665,287
230666,3480
230667,2653
230668,859
230669,1107
230670,651
230671,797
230672,640
230673,373
230674,439
230675,413
230676,2529
230677,1530
230678,684
230679,841
230680,315
230681,3345
230682,2249
230683,819
230684,1028
230685,343
230686,787
230687,630
230688,360
230689,429
230690,254
230691,2483
230692,1500
230693,686
230694,831
230695,270
230696,3284
230697,2216
230698,813
230699,1007
230700,222
230701,537
230702,457
230703,239
230704,310
230705,189
230706,1224
230707,942
230708,483
230709,604
230710,197
230711,1609
230712,1190
230713,566
230714,710
230715,801
230716,64
230717,62
230718,91
230719,81
230720,389
230721,133
230722,107
230723,70
230724,98
230725,213
230726,164
230727,130
230728,57
230729,91
230730,206
230731,2103
230732,1290
230733,617
230734,829
230735,462
230736,3649
230737,3520
230738,1691
230739,2466
230740,575
