id,num_sold
230130,776
230131,1077
230132,921
230133,408
230134,558
230135,372
230136,3833
230137,2617
230138,795
230139,1050
230140,382
230141,4068
230142,3734
230143,987
230144,1378
230145,277
230146,1008
230147,865
230148,362
230149,542
230150,268
230151,3764
230152,2335
230153,783
230154,1040
230155,279
230156,3868
230157,3797
230158,1054
230159,1291
230160,217
230161,695
230162,587
230163,311
230164,375
230165,232
230166,1726
230167,1325
230168,562
230169,753
230170,231
230171,2322
230172,1580
230173,766
230174,928
230175,710
230176,128
230177,151
230178,55
230179,63
230180,202
230181,134
230182,-49
230183,74
230184,48
230185,180
230186,76
230187,19
230188,38
230189,31
230190,253
230191,2863
230192,2039
230193,779
230194,1011
230195,400
230196,3915
230197,3880
230198,2442
230199,3446
230200,636
230201,3923
230202,3752
230203,3306
230204,3652
230205,206
230206,1139
230207,972
230208,459
230209,614
230210,284
230211,3805
230212,3402
230213,955
230214,1191
230215,359
230216,3940
230217,3709
230218,1162
230219,1482
230220,836
230221,873
230222,731
230223,343
230224,422
230225,389
230226,2475
230227,1587
230228,652
230229,846
230230,305
230231,3775
230232,2315
230233,848
230234,1012
230235,191
230236,773
230237,653
230238,334
230239,409
230240,238
230241,2816
230242,1481
230243,639
230244,821
230245,240
230246,3635
230247,2240
230248,795
230249,1029
230250,150
230251,537
230252,456
230253,218
230254,270
230255,175
230256,1172
230257,920
230258,450
230259,564
230260,199
230261,1445
230262,1120
230263,554
230264,683
230265,776
230266,66
230267,45
230268,37
230269,34
230270,302
230271,64
230272,72
230273,39
230274,45
230275,184
230276,63
230277,27
230278,56
230279,23
230280,205
230281,2251
230282,1272
230283,592
230284,726
230285,407
230286,3918
230287,3694
230288,1451
230289,3143
230290,477
230291,3748
230292,3692
230293,2855
230294,3343
230295,196
230296,917
230297,785
230298,390
230299,460
230300,223
230301,3622
230302,1964
230303,759
230304,941
230305,307
230306,3586
230307,3109
230308,930
230309,1146
230310,836
230311,789
230312,664
230313,349
230314,432
230315,398
230316,2578
230317,1504
230318,657
230319,838
230320,284
230321,3684
230322,2401
230323,795
230324,1035
230325,187
230326,761
230327,648
230328,329
230329,403
230330,233
230331,2650
230332,1427
230333,635
230334,814
230335,235
230336,3584
230337,2187
230338,792
230339,1023
230340,146
230341,527
230342,451
230343,216
230344,265
230345,170
230346,1122
230347,902
230348,446
230349,559
230350,195
230351,1395
230352,1100
230353,552
230354,676
230355,843
230356,62
230357,44
230358,58
230359,43
230360,283
230361,62
230362,42
230363,52
230364,50
230365,174
230366,73
230367,34
230368,55
230369,37
230370,205
230371,2286
230372,1272
230373,589
230374,726
230375,407
230376,3918
230377,3738
230378,1444
230379,3142
230380,473
230381,3776
230382,3723
230383,2610
230384,3331
230385,190
230386,893
230387,732
230388,387
230389,446
230390,220
230391,3441
230392,1981
230393,754
230394,919
230395,316
230396,3805
230397,3319
230398,932
230399,1196
230400,834
230401,784
230402,650
230403,344
230404,432
230405,396
230406,2497
230407,1483
230408,651
230409,819
230410,299
230411,3581
230412,2361
230413,789
230414,1011
230415,170
230416,761
230417,648
230418,324
230419,403
230420,226
230421,2478
230422,1445
230423,623
230424,799
230425,223
230426,3516
230427,2147
230428,781
230429,994
230430,144
230431,527
230432,451
230433,210
230434,265
