id,num_sold
230130,746
230131,1014
230132,858
230133,469
230134,428
230135,331
230136,1951
230137,1670
230138,883
230139,994
230140,368
230141,2210
230142,1955
230143,1069
230144,1249
230145,198
230146,961
230147,821
230148,433
230149,519
230150,306
230151,1859
230152,1532
230153,850
230154,1001
230155,358
230156,2347
230157,1839
230158,1081
230159,1195
230160,155
230161,709
230162,613
230163,322
230164,427
230165,229
230166,1344
230167,1140
230168,624
230169,708
230170,283
230171,1706
230172,1412
230173,743
230174,905
230175,757
230176,30
230177,64
230178,-43
230179,34
230180,51
230181,14
230182,101
230183,47
230184,48
230185,28
230186,41
230187,117
230188,38
230189,49
230190,363
230191,1699
230192,1609
230193,914
230194,1030
230195,497
230196,3499
230197,2956
230198,1604
230199,1864
230200,698
230201,4339
230202,3838
230203,2143
230204,2184
230205,149
230206,992
230207,902
230208,447
230209,561
230210,320
230211,2036
230212,1842
230213,920
230214,1073
230215,404
230216,2496
230217,2136
230218,1127
230219,1325
230220,765
230221,783
230222,688
230223,373
230224,448
230225,300
230226,1514
230227,1332
230228,707
230229,852
230230,330
230231,1790
230232,1550
230233,822
230234,981
230235,117
230236,727
230237,611
230238,334
230239,400
230240,237
230241,1478
230242,1234
230243,659
230244,811
230245,286
230246,1762
230247,1464
230248,783
230249,952
230250,89
230251,527
230252,464
230253,234
230254,292
230255,176
230256,1110
230257,925
230258,481
230259,591
230260,204
230261,1253
230262,1084
230263,574
230264,671
230265,753
230266,16
230267,40
230268,25
230269,33
230270,168
230271,25
230272,68
230273,44
230274,44
230275,19
230276,35
230277,60
230278,51
230279,38
230280,252
230281,1388
230282,1273
230283,665
230284,786
230285,469
230286,2954
230287,2407
230288,1285
230289,1553
230290,581
230291,3529
230292,2955
230293,1581
230294,1840
230295,129
230296,858
230297,749
230298,383
230299,442
230300,251
230301,1714
230302,1382
230303,778
230304,924
230305,309
230306,1935
230307,1690
230308,889
230309,1090
230310,753
230311,761
230312,633
230313,339
230314,415
230315,255
230316,1498
230317,1291
230318,681
230319,810
230320,293
230321,1757
230322,1494
230323,800
230324,982
230325,111
230326,712
230327,586
230328,315
230329,385
230330,229
230331,1466
230332,1231
230333,644
230334,797
230335,280
230336,1715
230337,1435
230338,771
230339,942
230340,82
230341,536
230342,455
230343,225
230344,291
230345,174
230346,1066
230347,922
230348,478
230349,578
230350,198
230351,1265
230352,1061
230353,556
230354,666
230355,787
230356,20
230357,22
230358,11
230359,19
230360,234
230361,50
230362,57
230363,16
230364,24
230365,62
230366,31
230367,41
230368,16
230369,30
230370,241
230371,1389
230372,1194
230373,607
230374,753
230375,452
230376,2788
230377,2366
230378,1265
230379,1540
230380,541
230381,3232
230382,2832
230383,1477
230384,1766
230385,120
230386,833
230387,708
230388,366
230389,436
230390,269
230391,1669
230392,1406
230393,738
230394,888
230395,311
230396,1947
230397,1648
230398,863
230399,1052
230400,745
230401,749
230402,612
230403,331
230404,398
230405,244
230406,1478
230407,1241
230408,654
230409,786
230410,276
230411,1748
230412,1467
230413,785
230414,969
230415,89
230416,680
230417,561
230418,294
230419,360
230420,198
230421,1417
230422,1173
230423,613
230424,712
230425,259
230426,1669
230427,1409
230428,747
230429,910
230430,55
230431,514
230432,416
230433,202
230434,261
230435,147
230436,1027
230437,854
230438,446
230439,532
230440,179
230441,1248
230442,1035
230443,540
230444,643
230445,755
230446,-2
230447,4
230448,-2
230449,5
230450,199
230451,43
230452,26
230453,5
230454,8
230455,94
230456,21
230457,30
230458,10
230459,23
230460,194
230461,1298
230462,1101
230463,559
230464,698
230465,384
230466,2630
230467,2207
230468,1201
230469,1478
230470,499
230471,3262
230472,2538
230473,1384
230474,1723
230475,119
230476,845
230477,695
230478,369
230479,431
230480,267
230481,1684
230482,1386
230483,730
230484,875
230485,316
230486,1969
230487,1648
230488,865
230489,1051
230490,740
230491,717
230492,616
230493,314
230494,386
230495,313
230496,1432
230497,1266
230498,652
230499,772
230500,283
230501,1708
230502,1455
230503,767
230504,946
230505,115
230506,699
230507,596
230508,324
230509,389
230510,225
230511,1425
230512,1217
230513,644
230514,797
230515,284
230516,1832
230517,1430
230518,766
230519,921
230520,90
230521,523
230522,451
230523,229
230524,287
230525,170
230526,1069
230527,933
230528,472
230529,600
230530,217
230531,1276
230532,1062
230533,564
230534,660
230535,764
230536,8
230537,16
230538,9
230539,9
230540,260
230541,39
230542,37
230543,17
230544,21
230545,108
230546,41
230547,47
230548,14
230549,25
230550,205
230551,1296
230552,1093
230553,560
230554,688
230555,391
230556,2600
230557,2218
230558,1192
230559,1444
230560,468
230561,3056
230562,2600
230563,1423
230564,1657
230565,137
230566,837
