"Timestamp","TZ","WindDir_Mean (deg)","WindSpd_Mean (km/h)","WindSpd_Min (km/h)","WindSpd_Max (km/h)","Temp_Mean (deg)","RH_Mean (%)","MSLP_Mean (hPa)","Rain_Acc (mm)","Rain_Intensity (mm/h)","Hail_Acc (hits/cm2)","Hail_Intensity (hits/cm2hr)","Solar_Mean (W/m2)"
2018/08/06 00:00:00.001,n,35,2.88,2.52,3.24,17.6,80.3,1016.82,0,0,0,0,0.031395
2018/08/06 00:01:00.000,n,26,2.52,2.16,2.88,17.6,80.4,1016.82,0,0,0,0,0.02964
2018/08/06 00:02:00.000,n,25,5.04,5.04,5.4,17.6,80.6,1016.82,0,0,0,0,0.02964
2018/08/06 00:03:00.000,n,1,4.68,3.6,5.4,17.5,80.7,1016.82,0,0,0,0,0.025291
2018/08/06 00:04:00.005,n,7,4.32,3.96,4.68,17.5,80.7,1016.82,0,0,0,0,0.025291
2018/08/06 00:05:00.002,n,348,4.32,3.6,5.04,17.5,80.6,1016.82,0,0,0,0,0.025291
2018/08/06 00:06:00.000,n,336,2.88,1.8,3.6,17.5,80.7,1016.82,0,0,0,0,0.028763
2018/08/06 00:07:00.000,n,339,3.24,2.52,3.6,17.6,80.4,1016.82,0,0,0,0,0.025291
2018/08/06 00:08:00.011,n,354,5.4,5.04,6.12,17.6,80.1,1016.82,0,0,0,0,0.025291
2018/08/06 00:09:00.010,n,13,3.96,3.24,4.32,17.6,79.8,1016.82,0,0,0,0,0.021782
2018/08/06 00:10:00.000,n,6,5.4,5.04,5.4,17.7,79.5,1016.92,0,0,0,0,0.031395
2018/08/06 00:11:00.000,n,27,3.24,2.52,3.24,17.7,79.3,1016.92,0,0,0,0,0.026131
2018/08/06 00:12:00.000,n,32,5.4,4.68,5.76,17.8,79,1016.92,0,0,0,0,0.024414
2018/08/06 00:13:00.000,n,26,3.6,3.24,3.96,17.8,78.8,1016.92,0,0,0,0,0.026131
2018/08/06 00:14:00.000,n,31,4.32,3.96,4.68,17.8,78.7,1016.82,0,0,0,0,0.027046
2018/08/06 00:15:00.008,n,23,2.88,2.88,3.24,17.7,78.7,1016.82,0,0,0,0,0.021782
2018/08/06 00:16:00.005,n,87,2.16,2.16,2.52,17.7,78.7,1016.82,0,0,0,0,0.024414
2018/08/06 00:17:00.003,n,17,3.96,3.96,4.32,17.7,78.8,1016.82,0,0,0,0,0.026131
2018/08/06 00:18:00.000,n,0,1.8,1.08,2.52,17.7,78.7,1016.82,0,0,0,0,0.027046
2018/08/06 00:19:00.000,n,20,3.24,2.52,3.96,17.7,78.7,1016.72,0,0,0,0,0.024414
2018/08/06 00:20:00.000,n,29,2.52,2.16,3.24,17.7,78.7,1016.72,0,0,0,0,0.027885
2018/08/06 00:21:00.000,n,25,3.24,2.88,3.96,17.6,78.7,1016.72,0,0,0,0,0.021782
2018/08/06 00:22:00.006,n,44,4.32,3.6,5.4,17.6,78.6,1016.72,0,0,0,0,0.023537
2018/08/06 00:23:00.003,n,28,2.16,1.08,3.24,17.5,78.7,1016.72,0,0,0,0,0.025291
2018/08/06 00:24:00.000,n,17,3.24,2.52,4.32,17.5,78.9,1016.72,0,0,0,0,0.024414
2018/08/06 00:25:00.000,n,17,4.68,4.32,5.04,17.4,79.2,1016.72,0,0,0,0,0.028763
2018/08/06 00:26:00.011,n,28,2.52,2.16,2.52,17.4,79.3,1016.62,0,0,0,0,0.021782
2018/08/06 00:27:00.009,n,17,2.52,2.16,3.6,17.4,79.4,1016.62,0,0,0,0,0.020905
2018/08/06 00:28:00.000,n,33,3.24,2.52,3.96,17.3,79.4,1016.62,0,0,0,0,0.024414
2018/08/06 00:29:00.001,n,14,5.76,4.68,6.48,17.3,79.4,1016.62,0,0,0,0,0.024414
2018/08/06 00:30:00.000,n,358,5.04,4.32,5.76,17.3,79.2,1016.62,0,0,0,0,0.022697
2018/08/06 00:31:00.000,n,349,3.6,2.88,5.4,17.3,79,1016.52,0,0,0,0,0.022697
