iter	RMSE
0	2.704986547
1	2.281438551
2	1.950371971
3	1.69266738
4	1.497417974
5	1.353694959
6	1.247481329
7	1.171133108
8	1.118577419
9	1.080964509
10	1.056272009
11	1.039323931
12	1.027673813
13	1.020413791
14	1.013943872
15	1.008967059
16	1.005694543
17	1.003375028
18	1.002161709
19	1.000651932
20	0.9994215825
21	0.9986122014
22	0.9976702201
23	0.9968127032
24	0.9963057283
25	0.9957943118
26	0.9953298342
27	0.9949902553
28	0.9948322362
29	0.994440733
30	0.9940902973
31	0.9937143619
32	0.9933495123
33	0.9930861577
34	0.9929300922
35	0.9926046781
36	0.9923665126
37	0.9919572042
38	0.9916243542
39	0.9913887783
40	0.9910512428
41	0.9905293738
42	0.9902691304
43	0.9898205923
44	0.9894876854
45	0.9891995729
46	0.9889134125
47	0.9887478173
48	0.98841323
49	0.9878351379
50	0.9876692436
51	0.9872049449
52	0.9866098432
53	0.9863445152
54	0.986240505
55	0.9859429157
56	0.9857370249
57	0.9855223249
58	0.9852966297
59	0.984990912
60	0.9847815394
61	0.9844626617
62	0.9841128964
63	0.9838880059
64	0.9835067579
65	0.9832585756
66	0.9830213202
67	0.9826156224
68	0.9821861077
69	0.9819899593
70	0.9816603228
71	0.9814302081
72	0.9810151243
73	0.9806229734
74	0.9801815724
75	0.9798905425
76	0.9796417267
77	0.9795025611
78	0.979308828
79	0.9790969611
80	0.9788422075
81	0.9785326044
82	0.9781044889
83	0.9777865406
84	0.9775169612
85	0.9772012558
86	0.9769535531
87	0.9767384726
88	0.9764762738
89	0.9762632765
90	0.9760083226
91	0.9755959708
92	0.9754397721
93	0.9752078872
94	0.9749734082
95	0.9746820557
96	0.9744374508
97	0.9742480995
98	0.9740251561
99	0.973766556
100	0.9735638417
101	0.9731690678
102	0.9729581503
103	0.9728717936
104	0.9726598102
105	0.9724473878
106	0.9720652239
107	0.9718141377
108	0.9716252748
109	0.9714368367
110	0.9712378941
111	0.97101946
112	0.9707006351
113	0.970444962
114	0.970045722
115	0.9696574159
116	0.9694344409
117	0.9691849439
118	0.9689249145
119	0.9686223768
120	0.9681429959
121	0.9679668273
122	0.9677389725
123	0.967462073
124	0.967124624
125	0.9669088466
126	0.9665086047
127	0.9661505532
128	0.9659762238
129	0.9658720293
130	0.9655051651
131	0.9653176505
132	0.9651248625
133	0.9648994725
134	0.9645459581
135	0.9642728106
136	0.9639576858
137	0.963784711
138	0.9635581541
139	0.9633221325
140	0.9630188033
141	0.9627759929
142	0.9626302615
143	0.9624351023
144	0.9621361
145	0.9618351242
146	0.9615369546
147	0.9612497525
148	0.9609516918
149	0.9606828323
150	0.9604854187
151	0.9602146126
152	0.9601389066
153	0.9600229914
154	0.9597362469
155	0.9595851732
156	0.9592975619
157	0.9591276812
158	0.9588616424
159	0.9585570506
160	0.9583700833
161	0.9582344331
162	0.9580105815
163	0.957866257
164	0.9576607582
165	0.957442202
166	0.9572709009
167	0.9571058548
168	0.9569032381
169	0.9565869295
170	0.9564788554
171	0.9560964046
172	0.9559744849
173	0.9556504889
174	0.9555003723
175	0.9549786234
176	0.9546782742
177	0.9544040339
178	0.9542167438
179	0.954074685
180	0.9538440558
181	0.953517109
182	0.9532194484
183	0.9529938689
184	0.9527358733
185	0.9525414141
186	0.9523295665
187	0.9522028674
188	0.9520666073
189	0.9518262126
190	0.9516451015
191	0.9512783789
192	0.9510447136
193	0.9508522394
194	0.9507166999
195	0.9505731539
196	0.9502076709
197	0.9498827653
198	0.9496708988
199	0.9495170857
200	0.9491932233
201	0.948847396
202	0.9486586548
203	0.9483588226
204	0.948205202
205	0.9479973763
206	0.9477589684
207	0.9474901379
208	0.9472837069
209	0.9470012288
210	0.94678552
211	0.9466270897
212	0.946499224
213	0.9463259958
214	0.9461192908
215	0.9460407885
216	0.9458560449
217	0.9456706924
218	0.9454421211
219	0.9451911986
220	0.9450528381
221	0.9449263294
222	0.9446994118
223	0.9442675636
224	0.9441219383
225	0.9439726913
226	0.9437434933
227	0.9435783921
228	0.9433901257
229	0.9433126096
230	0.9431229677
231	0.9429134708
232	0.9426752839
233	0.9424280734
234	0.9423399215
235	0.9421805984
236	0.9421155105
237	0.94193817
238	0.9417390714
239	0.9415868894
240	0.9413502188
241	0.9411715881
242	0.9411080492
243	0.9409589432
244	0.9407762885
245	0.9407172288
246	0.940522594
247	0.9402677635
248	0.939963055
249	0.9398132069
250	0.9395575269
251	0.9393785902
252	0.9391998888
253	0.9390328826
254	0.9389435365
255	0.9387644527
256	0.9386644951
257	0.9384826824
258	0.9382250187
259	0.9379413449
260	0.9377836752
261	0.9375962151
262	0.9374958865
263	0.9373578386
264	0.937208819
265	0.9370836474
266	0.9369030012
267	0.9366532687
268	0.9364993
269	0.93622379
270	0.9359850349
271	0.9357838002
272	0.9356345337
273	0.9354528032
274	0.9350352129
275	0.9347980785
276	0.9344838409
277	0.9343074296
278	0.9342177508
279	0.9340212406
280	0.9338400435
281	0.9335792365
282	0.9335227636
283	0.9333747434
284	0.9330771676
285	0.9328389987
286	0.9327420886
287	0.9326452334
288	0.9324892232
289	0.9323319893
290	0.9321057344
291	0.9317879687
292	0.9315169207
293	0.9311853425
294	0.9308853669
295	0.9307776718
296	0.9306346802
297	0.9304088397
298	0.9302612211
299	0.9300970051
